inst,mem_module,ecc
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u0/hbm_ctrl_ss_u0/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u0/hbm_ctrl_ss_u0/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u0/hbm_ctrl_ss_u1/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u0/hbm_ctrl_ss_u1/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u1/hbm_ctrl_ss_u0/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u1/hbm_ctrl_ss_u0/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u1/hbm_ctrl_ss_u1/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u1/hbm_ctrl_ss_u1/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u2/hbm_ctrl_ss_u0/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u2/hbm_ctrl_ss_u0/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u2/hbm_ctrl_ss_u1/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u2/hbm_ctrl_ss_u1/hbm_wr_process_integ_u0/hbm_wcf_afifo_128x30_wrapper_u0/hbm_wcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_channel_u3/hbm_ctrl_ss_u0/hbm_rd_process_integ_u0/hbm_rcf_afifo_128x30_wrapper_u0/hbm_rcf_ram_1r1w_128x30_wrapper/ues_gmem_1r1w_2clk/mem_wrapper_gmem/pmem0_y0_x0,rf_2pA_128x38_m1r0p0pg0v0wm0pt1wt0se0bt1b2,yes
