icl,inst,block
u_hcm_hbm_u0_hbm_octa_channel_u0,u_hcm/hbm_u0/hbm_octa_channel_u0,hbm_octa_channel_v0
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_1__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_1__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_2__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_2__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_3__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_3__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_4__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_4__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_5__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_5__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_6__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_6__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u0.hbm_ctrl_ip_u0_sdram_sys_top_inst_7__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u0/hbm_ctrl_ip_u0/sdram_sys_top_inst_7__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u1,u_hcm/hbm_u0/hbm_octa_channel_u1,hbm_octa_channel_v1
u_hcm_hbm_u0_hbm_octa_channel_u1.hbm_ctrl_ip_u0_sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u1/hbm_ctrl_ip_u0/sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u1.hbm_ctrl_ip_u0_sdram_sys_top_inst_1__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u1/hbm_ctrl_ip_u0/sdram_sys_top_inst_1__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u1.hbm_ctrl_ip_u0_sdram_sys_top_inst_2__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u1/hbm_ctrl_ip_u0/sdram_sys_top_inst_2__sdram_sys_top,nwl_sdram_sys_top
u_hcm_hbm_u0_hbm_octa_channel_u1.hbm_ctrl_ip_u0_sdram_sys_top_inst_3__sdram_sys_top,u_hcm/hbm_u0/hbm_octa_channel_u1/hbm_ctrl_ip_u0/sdram_sys_top_inst_3__sdram_sys_top,nwl_sdram_sys_top
