,,,,TC,PC,TT,SC,LG
bcd_equalizer_256,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_256/Rev2.1/20190821_sajain_finalDB_20190313_gi/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,78.61,55,148.1,6250,282
bcd_equalizer_256,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_256/Rev2.1/20190821_sajain_finalDB_20190313_gi/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.28,1634,431.3,106283,302
bcd_equalizer_256,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_256/Rev2.1/20190821_sajain_finalDB_20190313_gi/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,70.28,8312,3129.9,106283,302
bcd_equalizer_256,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_256/Rev2.1/20190821_sajain_finalDB_20190313_gi/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,76.34,12509,6530,106283,302
bcd_equalizer_2k,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_2k/Rev2.2/20190823_sajain_finalDB_20190319_ps/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,15.69,60,503.3,6267,281
bcd_equalizer_2k,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_2k/Rev2.2/20190823_sajain_finalDB_20190319_ps/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,98.68,5031,1887.9,415901,300
bcd_equalizer_2k,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_2k/Rev2.2/20190823_sajain_finalDB_20190319_ps/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,69.54,13716,17474.8,415901,300
bcd_equalizer_2k,/scratch/carina_pddft/carina_ce/DFT/final/bcd_equalizer_2k/Rev2.2/20190823_sajain_finalDB_20190319_ps/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,80.11,13761,9495.5,415901,300
bch_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/bch_dec_top/Rev2.0/20191020_20191016az_Rev2.0_sajain_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,6.24,30,663.9,11052,297
bch_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/bch_dec_top/Rev2.0/20191020_20191016az_Rev2.0_sajain_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,98.05,6848,4380.7,329317,300
