controller,clock,repair,mem_instance,mem_module,Bit,mem_icl,icl,inst,controller_inst,block,mem_id,group
stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y4_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y4_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller_inst,stat,m1,r128
stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y5_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y5_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller_inst,stat,m2,r128
stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y2_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y2_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller_inst,stat,m3,r128
stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y3_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y3_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u18_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller_inst,stat,m4,r128
stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y6_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y6_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller_inst,stat,m1,r128
stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y4_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y4_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller_inst,stat,m2,r128
stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y7_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y7_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller_inst,stat,m3,r128
stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y5_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y5_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u19_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller_inst,stat,m4,r128
stat_gate_tessent_mbist_sys_clk_MBIST12_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y6_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y6_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST12_REPAIR_BISR_controller_inst,stat,m1,r128
stat_gate_tessent_mbist_sys_clk_MBIST12_REPAIR_BISR_controller,sys_clk,TRUE,stat_smmu0_u0/smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21/ues_gmem_1r1w_1clk/mem_wrapper_gmem/pmem0_y5_x0,ss_14lpp_sr_211_hs_f_hc6t_shul_s_4096x144_m8r1rr0rc8p1v0wm0b2t1,589824,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21_ues_gmem_1r1w_1clk_mem_wrapper_gmem_pmem0_y5_x0,u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat_smmu0_u0_smmu0_ctrl_ram_1r1w_32768x135_wrapper_u21_ues_gmem_1r1w_1clk_mem_wrapper_gmem_stat_gate_tessent_mbist_sys_clk_MBIST12_REPAIR_BISR_controller_inst,stat,m2,r128
